ORIGIN_AIRPORT,AIRPORT,CITY,STATE,LATITUDE,LONGITUDE,CLUSTER,total_flights,avg_arrival_delay,avg_departure_delay,pct_delayed_15,cancellation_rate,avg_taxi_out,avg_distance,weather_delay_rate,airline_delay_rate,late_ac_delay_rate,system_delay_rate,PC1,PC2
ORF,Norfolk International Airport,Norfolk,VA,36.89461,-76.20122,1,9084,4.0280714,9.56561,16.325407,2.8056326008107533,13.677785,545.7567,6.552037,30.516684,37.48513,25.391384,0.599239114296452,0.16854895147808638
ORH,Worcester Regional Airport,Worcester,MA,42.26734,-71.87571,1,632,0.9541139,5.243671,18.51266,3.9215686274509802,12.786392,1150.8102,0.0,29.50255,36.9712,33.52625,0.40651270456444755,0.5823699349442465
OTZ,Ralph Wien Memorial Airport,Kotzebue,AK,66.88468,-162.59855,0,633,6.5734596,4.2243285,21.484993,3.3182503770739067,7.344392,395.1959,16.025452,16.14383,51.21338,13.96863,-0.770803694162888,-2.841331902576101
PAH,Barkley Regional Airport,Paducah,KY,37.06083,-88.77375,0,622,5.966238,7.8681674,13.344051,6.606606606606606,11.834405,342.0,1.8927846,12.309451,47.6499,38.147865,0.08841069692365729,-2.544362725491908
PBI,Palm Beach International Airport,West Palm Beach,FL,26.68316,-80.09559,1,22134,7.936026,12.1944065,21.085209,1.5682452487485048,13.568809,914.9146,2.0056124,26.717148,43.501755,27.340845,2.00981345181616,-0.28085531507213896
PDX,Portland International Airport,Portland,OR,45.58872,-122.5975,2,46777,1.2046518,5.349189,13.02777,0.45024954868854195,12.390619,1090.4896,1.4121861,31.144783,42.66513,24.706476,-1.1007923773381076,1.6040527548587389
PHF,Newport News/Williamsburg International Airport,Newport News,VA,37.1319,-76.49299,1,1229,8.922702,11.101708,18.795769,2.137767220902613,12.412531,509.66803,0.0,39.852375,48.752518,11.395108,1.0079577028044642,-0.46021474656780875
PHL,Philadelphia International Airport,Philadelphia,PA,39.87195,-75.24114,1,64751,4.3921795,10.344953,21.105465,1.6267551233698367,21.691278,1059.1885,3.0558333,32.41458,33.629692,30.72488,2.673750349805835,1.945155355347884
PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,33.43417,-112.00806,1,145552,4.3927875,8.630077,18.003876,0.6143786397847631,15.299295,966.59973,2.3799806,37.66946,38.754646,20.758522,0.8332946736040553,1.6077424519391252
PIA,General Wayne A. Downing Peoria International Airport,Peoria,IL,40.66424,-89.69331,1,4490,6.1899776,7.9084635,18.997772,3.323327615780446,14.765256,380.51,5.0813212,32.358147,33.371742,29.158735,1.353930085303538,-0.027683685148698144
PIB,Hattiesburg-Laurel Regional Airport,Hattiesburg-Laurel,MS,31.46715,-89.33706,1,563,8.721137,7.6731796,18.29485,1.2216404886561953,11.754885,233.04085,0.0,57.9729,27.787909,14.239187,1.0886179606096964,1.462059353851331
PIH,Pocatello Regional Airport,Pocatello,ID,42.91131,-112.59586,2,652,2.5797546,-1.3282208,8.7423315,0.3058103975535168,11.935583,150.0,11.021003,51.881886,18.714909,18.3822,-2.158584331364196,3.1007748393792465
PIT,Pittsburgh International Airport,Pittsburgh,PA,40.49147,-80.23287,2,23669,-1.195361,6.5004435,13.946512,1.608756945020317,13.622502,732.6532,5.221464,28.911007,40.695435,25.164646,-1.0116176939320123,1.097973152927329
PLN,Pellston Regional Airport of Emmet County,Pellston,MI,45.57093,-84.79672,1,730,7.5945206,10.424658,13.150685,2.788844621513944,17.787672,243.0,6.204674,31.486706,55.32836,6.8795323,0.017028161976921613,-0.4694124498036384
PNS,Pensacola International Airport (Pensacola Gulf Coast Regional Airport),Pensacola,FL,30.47331,-87.18744,0,6403,3.5836327,7.492738,15.68015,1.6528925619834711,13.308293,438.18256,6.9416003,23.625956,49.29373,20.090881,-0.6436385332329124,-0.4607577458635306
PSC,Tri-Cities Airport,Pasco,WA,46.26468,-119.11903,2,2394,0.59774435,2.692147,12.406015,1.1919441019317716,14.734754,683.40265,3.9081194,26.841072,50.22066,18.870634,-1.9693694212699842,0.831805216626361
PSE,Mercedita Airport,Ponce,PR,18.0083,-66.56301,2,738,-4.405149,2.7344174,13.279133,1.4686248331108143,12.4959345,1371.2927,0.0,15.791263,75.16573,9.043005,-3.5505812145156055,-0.22319577505925756
PSG,Petersburg James A. Johnson Airport,Petersburg,AK,56.80165,-132.94528,0,652,5.4969325,3.5690184,20.092024,1.355421686746988,8.89724,77.0,2.2629035,11.492499,73.391815,10.195779,-2.172791907246798,-3.4472680984994963
PSP,Palm Springs International Airport,Palm Springs,CA,33.82922,-116.50625,1,8865,6.0077834,7.961985,16.943035,1.123845554690108,14.33683,635.7135,0.74892807,33.436874,36.84993,28.76322,0.8220644893581094,0.8701740573183873
PVD,Theodore Francis Green State Airport,Providence,RI,41.724,-71.42822,2,10757,0.4002975,7.49828,15.338849,2.414541508410201,12.8745,745.09595,5.0632167,27.488417,43.377964,24.013468,-0.5932224490684687,0.3513333180567973
PWM,Portland International Jetport,Portland,ME,43.64617,-70.30875,1,4529,3.3601236,9.362994,16.692427,2.948088015381329,14.102893,535.55597,2.9048328,25.168224,35.630516,36.273705,0.8758361175830358,0.04723846241426617
RAP,Rapid City Regional Airport,Rapid City,SD,44.04532,-103.05737,2,3197,3.441664,5.3684707,15.389427,1.4701378254211332,15.203003,554.7895,4.7104416,27.358372,47.088665,20.782658,-0.6322531312496716,0.34829067958091936
RDD,Redding Municipal Airport,Redding,CA,40.50898,-122.2934,0,706,0.19121814,6.4716716,13.88102,2.8885832187070153,16.174221,199.0,0.059585877,24.325933,61.716072,13.898405,-1.6852169986678487,-0.786475859825816
